"date","adm_cd","m00","m05","m10","m15","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","m75","m80","m85","f00","f05","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","f75","f80","f85","total"
"20240313","45180370","0.0","0.0","8.08","1.01","13.13","22.22","17.17","23.23","19.19","28.28","47.47","47.47","82.82","70.7","34.34","23.23","18.18","17.17","0.0","1.01","4.04","3.03","5.05","10.1","4.04","7.07","15.15","16.16","25.25","47.47","56.56","40.4","23.23","27.27","30.3","33.33","1088.78"
"20240328","45180390","0.0","3.03","19.19","21.21","18.18","39.39","43.43","58.58","66.66","77.77","105.04","97.97","125.24","90.9","59.59","34.34","30.3","26.26","0.0","3.03","17.17","17.17","8.08","22.22","33.33","23.23","39.39","39.39","65.65","89.89","69.69","59.59","44.44","41.41","48.48","33.33","2068.48"
"20240302","43750350","0.0","19.19","35.35","50.5","178.77","462.58","463.59","360.57","338.35","265.63","332.29","396.93","357.54","287.85","118.17","54.54","40.4","156.55","0.0","14.14","39.39","33.33","57.57","121.2","153.52","144.43","130.29","140.39","229.27","264.62","243.41","189.88","82.82","45.45","35.35","130.29","9488.95"
"20240308","43750350","0.0","17.17","24.24","56.56","237.35","692.86","678.72","570.65","626.2","507.02","606.0","644.38","595.9","360.57","151.5","65.65","42.42","187.86","0.0","8.08","37.37","30.3","92.92","212.1","194.93","168.67","173.72","220.18","326.23","321.18","278.76","196.95","83.83","48.48","33.33","150.49","13470.37"
"20240331","43750330","0.0","18.18","35.35","67.67","51.51","128.27","181.8","133.32","143.42","142.41","193.92","260.58","220.18","214.12","88.88","43.43","25.25","31.31","0.0","17.17","31.31","39.39","35.35","77.77","87.87","67.67","104.03","111.1","164.63","173.72","203.01","116.15","64.64","33.33","22.22","25.25","5741.85"
"20240310","45180310","0.0","5.05","29.29","14.14","52.52","91.91","95.95","88.88","81.81","103.02","117.16","157.56","161.6","114.13","55.55","55.55","23.23","22.22","0.0","21.21","13.13","16.16","25.25","39.39","40.4","48.48","42.42","70.7","110.09","135.34","117.16","72.72","48.48","46.46","32.32","39.39","2977.48"
"20240303","45180520","0.0","4.04","10.1","16.16","13.13","34.34","18.18","30.3","26.26","39.39","47.47","65.65","50.5","44.44","20.2","14.14","12.12","10.1","0.0","12.12","8.08","12.12","13.13","25.25","29.29","19.19","27.27","38.38","52.52","56.56","36.36","31.31","18.18","20.2","20.2","15.15","1120.09"
"20240314","47770340","0.0","1.01","3.03","1.01","7.07","13.13","21.21","12.12","24.24","23.23","53.53","56.56","91.91","65.65","46.46","26.26","21.21","11.11","0.0","0.0","6.06","1.01","2.02","6.06","13.13","14.14","16.16","15.15","33.33","53.53","51.51","57.57","42.42","22.22","34.34","11.11","1034.24"
"20240328","45180250","0.0","3.03","24.24","48.48","31.31","67.67","73.73","84.84","112.11","125.24","166.65","183.82","149.48","129.28","92.92","41.41","37.37","30.3","0.0","5.05","15.15","14.14","25.25","36.36","34.34","31.31","46.46","79.79","91.91","117.16","124.23","73.73","74.74","56.56","49.49","56.56","3214.83"
"20240318","43750370","0.0","28.28","76.76","95.95","189.88","508.03","463.59","430.26","446.42","445.41","555.5","587.82","469.65","304.01","104.03","55.55","30.3","137.36","0.0","33.33","69.69","94.94","129.28","244.42","198.97","179.78","213.11","229.27","334.31","331.28","278.76","156.55","77.77","38.38","38.38","110.09","11435.22"
